SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
KSHITIJPOL,Kshitij Polyline Limited,Stationary,Diversified / Others,
KSL,Kalyani Steels Limited,Iron & Steel Products,Materials,
KSOLVES,Ksolves India Limited,Computers - Software & Consulting,Information Technology,
KSR,KSR Footwear Limited,Footwear,Consumer Discretionary,
KTKBANK,The Karnataka Bank Limited,Private Sector Bank,Financials,
KUANTUM,Kuantum Papers Limited,Paper & Paper Products,Materials,
LAGNAM,Lagnam Spintex Limited,Other Textile Products,Consumer Discretionary,
LAKPRE,Lakshmi Precision Screws Limited,Auto Components & Equipments,Consumer Discretionary,
LAL,Lorenzini Apparels Limited,Garments & Apparels,Consumer Discretionary,
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Service Provider,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
LAMBODHARA,Lambodhara Textiles Limited,Other Textile Products,Consumer Discretionary,
LANCORHOL,Lancor Holdings Limited,Residential Commercial Projects,Real Estate & Construction,
LANDMARK,Landmark Cars Limited,Auto Dealer,Consumer Discretionary,
LAOPALA,La Opala RG Limited,Glass - Consumer,Materials,
LASA,Lasa Supergenerics Limited,Pharmaceuticals,Healthcare & Pharma,
LATENTVIEW,Latent View Analytics Limited,Computers - Software & Consulting,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
LATTEYS,Latteys Industries Limited,Compressors Pumps & Diesel Engines,Industrials,
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
LAXMICOT,Laxmi Cotspin Limited,Other Textile Products,Consumer Discretionary,
LAXMIDENTL,Laxmi Dental Limited,Medical Equipment & Supplies,Healthcare & Pharma,
LAXMIINDIA,Laxmi India Finance Limited,Non Banking Financial Company (NBFC),Financials,
LCCINFOTEC,LCC Infotech Limited,Education,Diversified / Others,
LEMONTREE,Lemon Tree Hotels Limited,Hotels & Resorts,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
LENSKART,Lenskart Solutions Limited,Speciality Retail,Consumer Discretionary,
LEXUS,Lexus Granito (India) Limited,Ceramics,Materials,
LFIC,Lakshmi Finance & Industrial Corporation Limited,Investment Company,Financials,
LGBBROSLTD,LG Balakrishnan & Bros Limited,Auto Components & Equipments,Consumer Discretionary,
LGEINDIA,LG Electronics India Limited,Household Appliances,Consumer Discretionary,
LGHL,Laxmi Goldorna House Limited,Gems Jewellery And Watches,Consumer Discretionary,
LIBAS,Libas Consumer Products Limited,Garments & Apparels,Consumer Discretionary,
LIBERTSHOE,Liberty Shoes Limited,Footwear,Consumer Discretionary,
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Company,Financials,"NIFTY500,NIFTYMIDCAP150"
LICI,Life Insurance Corporation Of India,Life Insurance,Financials,"NIFTY100,NIFTY500"
LIKHITHA,Likhitha Infrastructure Limited,Civil Construction,Real Estate & Construction,
LINC,Linc Limited,Stationary,Diversified / Others,
LINCOLN,Lincoln Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,
LINDEINDIA,Linde India Limited,Industrial Gases,Energy,"NIFTY500,NIFTYMIDCAP150"
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Industrial Products,Industrials,
LLOYDSENT,Lloyds Enterprises Limited,Trading - Metals,Materials,
LLOYDSME,Lloyds Metals And Energy Limited,Industrial Minerals,Materials,"NIFTY500,NIFTYMIDCAP150"
LMW,LMW Limited,Industrial Products,Industrials,
LODHA,Lodha Developers Limited,Residential Commercial Projects,Real Estate & Construction,"NIFTY100,NIFTY500"
LOKESHMACH,Lokesh Machines Limited,Industrial Products,Industrials,
LORDSCHLO,Lords Chloro Alkali Limited,Commodity Chemicals,Materials,
LOTUSDEV,Sri Lotus Developers and Realty Limited,Residential Commercial Projects,Real Estate & Construction,
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Hospital,Healthcare & Pharma,
LOVABLE,Lovable Lingerie Limited,Garments & Apparels,Consumer Discretionary,
LOYALTEX,Loyal Textile Mills Limited,Other Textile Products,Consumer Discretionary,
LPDC,Landmark Property Development Company Limited,Real Estate related services,Real Estate & Construction,
LT,Larsen & Toubro Limited,Civil Construction,Real Estate & Construction,"NIFTY100,NIFTY50,NIFTY500"
LTF,L&T Finance Limited,Investment Company,Financials,"NIFTY500,NIFTYMIDCAP150"
LTFOODS,LT Foods Limited,Other Agricultural Products,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
LTIM,LTIMindtree Limited,Computers - Software & Consulting,Information Technology,"NIFTY100,NIFTY500"
LTTS,L&T Technology Services Limited,IT Enabled Services,Information Technology,"NIFTY500,NIFTYMIDCAP150"
LUMAXIND,Lumax Industries Limited,Auto Components & Equipments,Consumer Discretionary,
LUMAXTECH,Lumax Auto Technologies Limited,Auto Components & Equipments,Consumer Discretionary,
LUPIN,Lupin Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
LUXIND,Lux Industries Limited,Garments & Apparels,Consumer Discretionary,
LXCHEM,Laxmi Organic Industries Limited,Specialty Chemicals,Materials,
LYKALABS,Lyka Labs Limited,Pharmaceuticals,Healthcare & Pharma,
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Gems Jewellery And Watches,Consumer Discretionary,
M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,Consumer Discretionary,"NIFTY100,NIFTY50,NIFTY500"
M&MFIN,Mahindra & Mahindra Financial Services Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYMIDCAP150"
MAANALU,Maan Aluminium Limited,Aluminium,Materials,
MACPOWER,Macpower CNC Machines Limited,Industrial Products,Industrials,
MADHAV,Madhav Marbles and Granites Limited,Granites & Marbles,Diversified / Others,
MADHUCON,Madhucon Projects Limited,Civil Construction,Real Estate & Construction,
MADRASFERT,Madras Fertilizers Limited,Fertilizers,Materials,
MAGADSUGAR,Magadh Sugar & Energy Limited,Sugar,Consumer Staples,
MAGNUM,Magnum Ventures Limited,Paper & Paper Products,Materials,
MAHABANK,Bank of Maharashtra,Public Sector Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Other Financial Services,Financials,
MAHASTEEL,Mahamaya Steel Industries Limited,Iron & Steel Products,Materials,
MAHEPC,Mahindra EPC Irrigation Limited,Industrial Products,Industrials,
MAHESHWARI,Maheshwari Logistics Limited,Diversified,Diversified / Others,
MAHLIFE,Mahindra Lifespace Developers Limited,Residential Commercial Projects,Real Estate & Construction,
MAHLOG,Mahindra Logistics Limited,Logistics Solution Provider,Industrials,
MAHSCOOTER,Maharashtra Scooters Limited,Investment Company,Financials,"NIFTY500,NIFTYSMALLCAP250"
MAHSEAMLES,Maharashtra Seamless Limited,Iron & Steel Products,Materials,"NIFTY500,NIFTYSMALLCAP250"
MAITHANALL,Maithan Alloys Limited,Ferro & Silica Manganese,Materials,
MALLCOM,Mallcom (India) Limited,Other Industrial Products,Industrials,
MALUPAPER,Malu Paper Mills Limited,Paper & Paper Products,Materials,
MAMATA,Mamata Machinery Limited,Industrial Products,Industrials,
MANAKALUCO,Manaksia Aluminium Company Limited,Aluminium,Materials,
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Iron & Steel Products,Materials,
MANAKSIA,Manaksia Limited,Iron & Steel Products,Materials,
MANAKSTEEL,Manaksia Steels Limited,Iron & Steel,Materials,
MANALIPETC,Manali Petrochemicals Limited,Petrochemicals,Materials,
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYSMALLCAP250"
MANBA,Manba Finance Limited,Non Banking Financial Company (NBFC),Financials,
MANCREDIT,Mangal Credit and Fincorp Limited,Non Banking Financial Company (NBFC),Financials,
MANGALAM,Mangalam Drugs And Organics Limited,Pharmaceuticals,Healthcare & Pharma,
MANGLMCEM,Mangalam Cement Limited,Cement & Cement Products,Materials,
MANINDS,Man Industries (India) Limited,Iron & Steel Products,Materials,
MANINFRA,Man Infraconstruction Limited,Civil Construction,Real Estate & Construction,
MANKIND,Mankind Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
MANOMAY,Manomay Tex India Limited,Other Textile Products,Consumer Discretionary,
MANORAMA,Manorama Industries Limited,Other Food Products,Consumer Staples,
MANORG,Mangalam Organics Limited,Commodity Chemicals,Materials,
MANUGRAPH,Manugraph India Limited,Industrial Products,Industrials,
MANYAVAR,Vedant Fashions Limited,Speciality Retail,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
MAPMYINDIA,C.E. Info Systems Limited,Software Products,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
MARALOVER,Maral Overseas Limited,Other Textile Products,Consumer Discretionary,
MARATHON,Marathon Nextgen Realty Limited,Residential Commercial Projects,Real Estate & Construction,
MARICO,Marico Limited,Edible Oil,Energy,"NIFTY500,NIFTYMIDCAP150"
MARINE,Marine Electricals (India) Limited,Industrial Products,Industrials,
MARKOLINES,Markolines Pavement Technologies Limited,Civil Construction,Real Estate & Construction,
MARKSANS,Marksans Pharma Limited,Pharmaceuticals,Healthcare & Pharma,
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,Consumer Discretionary,"NIFTY100,NIFTY50,NIFTY500"
MASFIN,MAS Financial Services Limited,Non Banking Financial Company (NBFC),Financials,
MASKINVEST,Mask Investments Limited,Investment Company,Financials,
MASTEK,Mastek Limited,Computers - Software & Consulting,Information Technology,
MASTERTR,Master Trust Limited,Stockbroking & Allied,Financials,
MATRIMONY,Matrimony.Com Limited,Internet & Catalogue Retail,Consumer Discretionary,
MAWANASUG,Mawana Sugars Limited,Sugar,Consumer Staples,
MAXESTATES,Max Estates Limited,Residential Commercial Projects,Real Estate & Construction,
MAXHEALTH,Max Healthcare Institute Limited,Hospital,Healthcare & Pharma,"NIFTY100,NIFTY50,NIFTY500"
MAXIND,Max India Limited,Holding Company,Diversified / Others,
MAYURUNIQ,Mayur Uniquoters Ltd,Leather And Leather Products,Diversified / Others,
MAZDA,Mazda Limited,Industrial Products,Industrials,
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,Diversified / Others,"NIFTY100,NIFTY500"
MBAPL,Madhya Bharat Agro Products Limited,Fertilizers,Materials,
MBEL,M & B Engineering Limited,Civil Construction,Real Estate & Construction,
MBLINFRA,MBL Infrastructure Limited,Civil Construction,Real Estate & Construction,
MCL,Madhav Copper Limited,Investment Company,Financials,
MCLEODRUSS,Mcleod Russel India Limited,Tea & Coffee,Consumer Staples,
MCLOUD,Magellanic Cloud Limited,Computers - Software & Consulting,Information Technology,
MCX,Multi Commodity Exchange of India Limited,Exchange and Data Platform,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
MEDANTA,Global Health Limited,Hospital,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
MEDIASSIST,Medi Assist Healthcare Services Limited,Insurance Distributors,Financials,
MEDICAMEQ,Medicamen Biotech Limited,Pharmaceuticals,Healthcare & Pharma,
MEDICO,Medico Remedies Limited,Pharmaceuticals,Healthcare & Pharma,
MEDPLUS,Medplus Health Services Limited,Pharmacy Retail,Healthcare & Pharma,
MEGASOFT,Megasoft Limited,Other Telecom Services,Telecom,
MEGASTAR,Megastar Foods Limited,Other Food Products,Consumer Staples,
MEIL,Mangal Electrical Industries Limited,Other Electrical Equipment,Industrials,
MENONBE,Menon Bearings Limited,Auto Components & Equipments,Consumer Discretionary,
MEP,MEP Infrastructure Developers Limited,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
METROBRAND,Metro Brands Limited,Footwear,Consumer Discretionary,
METROPOLIS,Metropolis Healthcare Limited,Healthcare Service Provider,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
MFML,Mahalaxmi Fabric Mills Limited,Other Textile Products,Consumer Discretionary,
MFSL,Max Financial Services Limited,Life Insurance,Financials,"NIFTY500,NIFTYMIDCAP150"
MGEL,Mangalam Global Enterprise Limited,Other Agricultural Products,Diversified / Others,
MGL,Mahanagar Gas Limited,LPG/CNG/PNG/LNG Supplier,Energy,"NIFTY500,NIFTYSMALLCAP250"
MHLXMIRU,Mahalaxmi Rubtech Limited,Other Textile Products,Consumer Discretionary,
MHRIL,Mahindra Holidays & Resorts India Limited,Hotels & Resorts,Consumer Discretionary,
MICEL,MIC Electronics Limited,Other Industrial Products,Industrials,
MIDHANI,Mishra Dhatu Nigam Limited,Aerospace & Defense,Industrials,
MIDWESTLTD,Midwest Limited,Granites & Marbles,Diversified / Others,
MINDACORP,Minda Corporation Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
MINDTECK,Mindteck (India) Limited,Computers - Software & Consulting,Information Technology,
MIRCELECTR,MIRC Electronics Limited,Consumer Electronics,Consumer Discretionary,
MIRZAINT,Mirza International Limited,Leather And Leather Products,Diversified / Others,
MITCON,MITCON Consultancy & Engineering Services Limited,Consulting Services,Diversified / Others,
MITTAL,Mittal Life Style Limited,Garments & Apparels,Consumer Discretionary,
MKPL,M K Proteins Limited,Edible Oil,Energy,
MMFL,MM Forgings Limited,Auto Components & Equipments,Consumer Discretionary,
MMP,MMP Industries Limited,Aluminium,Materials,
MMTC,MMTC Limited,Trading & Distributors,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
MOBIKWIK,One Mobikwik Systems Limited,Financial Technology (Fintech),Financials,
MODIRUBBER,Modi Rubber Limited,Tyres & Rubber Products,Consumer Discretionary,
MODIS,Modis Navnirman Limited,Residential Commercial Projects,Real Estate & Construction,
MODISONLTD,MODISON LIMITED,Other Electrical Equipment,Industrials,
MODTHREAD,Modern Threads (India) Limited,Other Textile Products,Consumer Discretionary,
MOHITIND,Mohit Industries Limited,Other Textile Products,Consumer Discretionary,
MOIL,MOIL Limited,Industrial Minerals,Materials,
MOKSH,Moksh Ornaments Limited,Gems Jewellery And Watches,Consumer Discretionary,
MOL,Meghmani Organics Limited,Pesticides & Agrochemicals,Materials,
MOLDTECH,Mold-Tek Technologies Limited,Civil Construction,Real Estate & Construction,
MOLDTKPAC,Mold-Tek Packaging Limited,Packaging,Materials,
MONARCH,Monarch Networth Capital Limited,Stockbroking & Allied,Financials,
MONEYBOXX,Moneyboxx Finance Limited,Non Banking Financial Company (NBFC),Financials,
MONTECARLO,Monte Carlo Fashions Limited,Garments & Apparels,Consumer Discretionary,
MORARJEE,Morarjee Textiles Limited,Other Textile Products,Consumer Discretionary,
MOREPENLAB,Morepen Laboratories Limited,Pharmaceuticals,Healthcare & Pharma,
MOSCHIP,Moschip Technologies Limited,Computers Hardware & Equipments,Information Technology,
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY100,NIFTY500"
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,Financials,"NIFTY500,NIFTYMIDCAP150"
MOTISONS,Motisons Jewellers Limited,Gems Jewellery And Watches,Consumer Discretionary,
MOTOGENFIN,The Motor & General Finance Limited,Diversified Commercial Services,Diversified / Others,
MPHASIS,MphasiS Limited,Computers - Software & Consulting,Information Technology,"NIFTY500,NIFTYMIDCAP150"
MPSLTD,MPS Limited,E-Learning,Diversified / Others,
MRF,MRF Limited,Tyres & Rubber Products,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries & Marketing,Energy,"NIFTY500,NIFTYSMALLCAP250"
MSPL,MSP Steel & Power Limited,Iron & Steel Products,Materials,
MSTCLTD,Mstc Limited,Trading & Distributors,Consumer Discretionary,
MSUMI,Motherson Sumi Wiring India Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
MTARTECH,Mtar Technologies Limited,Aerospace & Defense,Industrials,
MTEDUCARE,MT Educare Limited,Education,Diversified / Others,
MTNL,Mahanagar Telephone Nigam Limited,Telecom - Cellular & Fixed line services,Telecom,
MUFIN,Mufin Green Finance Limited,Non Banking Financial Company (NBFC),Financials,
MUFTI,Credo Brands Marketing Limited,Speciality Retail,Consumer Discretionary,
MUKANDLTD,Mukand Limited,Iron & Steel,Materials,
MUKKA,Mukka Proteins Limited,Animal Feed,Diversified / Others,
MUKTAARTS,Mukta Arts Limited,Film Production Distribution & Exhibition,Diversified / Others,
MUNJALAU,Munjal Auto Industries Limited,Auto Components & Equipments,Consumer Discretionary,
MUNJALSHOW,Munjal Showa Limited,Auto Components & Equipments,Consumer Discretionary,
MURUDCERA,Murudeshwar Ceramics Limited,Ceramics,Materials,
MUTHOOTCAP,Muthoot Capital Services Limited,Non Banking Financial Company (NBFC),Financials,
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYMIDCAP150"
MUTHOOTMF,Muthoot Microfin Limited,Microfinance Institutions,Financials,
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Gems Jewellery And Watches,Consumer Discretionary,
MWL,Mangalam Worldwide Limited,Iron & Steel Products,Materials,
NACLIND,NACL Industries Limited,Pesticides & Agrochemicals,Materials,
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Fertilizers,Materials,
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Investment Company,Financials,
NAGREEKEXP,Nagreeka Exports Limited,Other Textile Products,Consumer Discretionary,
NAHARCAP,Nahar Capital and Financial Services Limited,Investment Company,Financials,
NAHARINDUS,Nahar Industrial Enterprises Limited,Other Textile Products,Consumer Discretionary,
NAHARPOLY,Nahar Poly Films Limited,Packaging,Materials,
NAHARSPING,Nahar Spinning Mills Limited,Other Textile Products,Consumer Discretionary,
NAM-INDIA,Nippon Life India Asset Management Limited,Asset Management Company,Financials,"NIFTY500,NIFTYMIDCAP150"
NARMADA,Narmada Agrobase Limited,Animal Feed,Diversified / Others,
NATCAPSUQ,Natural Capsules Limited,Pharmaceuticals,Healthcare & Pharma,
NATCOPHARM,Natco Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
NATHBIOGEN,Nath Bio-Genes (India) Limited,Other Agricultural Products,Diversified / Others,
NATIONALUM,National Aluminium Company Limited,Aluminium,Materials,"NIFTY500,NIFTYMIDCAP150"
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,Consumer Discretionary,"NIFTY100,NIFTY500"
NAVA,NAVA LIMITED,Power Generation,Utilities,"NIFTY500,NIFTYSMALLCAP250"
NAVINFLUOR,Navin Fluorine International Limited,Specialty Chemicals,Materials,"NIFTY500,NIFTYSMALLCAP250"
NAVKARCORP,Navkar Corporation Limited,Logistics Solution Provider,Industrials,
NAVKARURB,Navkar Urbanstructure Limited,Civil Construction,Real Estate & Construction,
NAVNETEDUL,Navneet Education Limited,Printing & Publication,Diversified / Others,
NAZARA,Nazara Technologies Limited,Digital Entertainment,Consumer Discretionary,
NBCC,NBCC (India) Limited,Civil Construction,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
NBIFIN,N. B. I. Industrial Finance Company Limited,Non Banking Financial Company (NBFC),Financials,
NCC,NCC Limited,Civil Construction,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
NCLIND,NCL Industries Limited,Cement & Cement Products,Materials,
NDGL,Naga Dhunseri Group Limited,Investment Company,Financials,
NDL,Nandan Denim Limited,Other Textile Products,Consumer Discretionary,
NDLVENTURE,NDL Ventures Limited,Other Financial Services,Financials,
NDRAUTO,Ndr Auto Components Limited,Auto Components & Equipments,Consumer Discretionary,
NDTV,New Delhi Television Limited,TV Broadcasting & Software Production,Information Technology,
NECCLTD,North Eastern Carrying Corporation Limited,Logistics Solution Provider,Industrials,
NECLIFE,Nectar Lifesciences Limited,Pharmaceuticals,Healthcare & Pharma,
NELCAST,Nelcast Limited,Castings & Forgings,Industrials,
NELCO,NELCO Limited,Computers Hardware & Equipments,Information Technology,
NEOGEN,Neogen Chemicals Limited,Specialty Chemicals,Materials,
NESCO,Nesco Limited,Diversified Commercial Services,Diversified / Others,
NESTLEIND,Nestle India Limited,Packaged Foods,Consumer Staples,"NIFTY100,NIFTY50,NIFTY500"
NETWEB,Netweb Technologies India Limited,IT Enabled Services,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
NETWORK18,Network18 Media & Investments Limited,Media & Entertainment,Consumer Discretionary,
NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
NEWGEN,Newgen Software Technologies Limited,Computers - Software & Consulting,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
NEXTMEDIA,Next Mediaworks Limited,Media & Entertainment,Consumer Discretionary,
NFL,National Fertilizers Limited,Fertilizers,Materials,
NGIL,Nakoda Group of Industries Limited,Packaged Foods,Consumer Staples,
NGLFINE,NGL Fine-Chem Limited,Pharmaceuticals,Healthcare & Pharma,
NH,Narayana Hrudayalaya Ltd.,Hospital,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
NHPC,NHPC Limited,Power Generation,Utilities,"NIFTY500,NIFTYMIDCAP150"
NIACL,The New India Assurance Company Limited,General Insurance,Financials,"NIFTY500,NIFTYMIDCAP150"
NIBE,NIBE Limited,Aerospace & Defense,Industrials,
NIBL,NRB Industrial Bearings Limited,Abrasives & Bearings,Diversified / Others,
NIITLTD,NIIT Limited,Education,Diversified / Others,
NIITMTS,NIIT Learning Systems Limited,Education,Diversified / Others,
NILAINFRA,Nila Infrastructures Limited,Residential Commercial Projects,Real Estate & Construction,
NILASPACES,Nila Spaces Limited,Residential Commercial Projects,Real Estate & Construction,
NILKAMAL,Nilkamal Limited,Plastic Products - Consumer,Consumer Discretionary,
NINSYS,NINtec Systems Limited,Computers - Software & Consulting,Information Technology,
NIPPOBATRY,Indo-National Limited,Household Products,Consumer Staples,
NIRAJ,Niraj Cement Structurals Limited,Civil Construction,Real Estate & Construction,
NIRAJISPAT,Niraj Ispat Industries Limited,Plastic Products - Consumer,Consumer Discretionary,
NITCO,Nitco Limited,Ceramics,Materials,
NITINSPIN,Nitin Spinners Limited,Other Textile Products,Consumer Discretionary,
NITIRAJ,Nitiraj Engineers Limited,Other Electrical Equipment,Industrials,
NIVABUPA,Niva Bupa Health Insurance Company Limited,General Insurance,Financials,"NIFTY500,NIFTYSMALLCAP250"
NKIND,NK Industries Limited,Edible Oil,Energy,
NLCINDIA,NLC India Limited,Power Generation,Utilities,"NIFTY500,NIFTYMIDCAP150"
NMDC,NMDC Limited,Industrial Minerals,Materials,"NIFTY500,NIFTYMIDCAP150"
NOCIL,NOCIL Limited,Specialty Chemicals,Materials,
NOIDATOLL,Noida Toll Bridge Company Limited,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
NORBTEAEXP,Norben Tea & Exports Limited,Tea & Coffee,Consumer Staples,
NORTHARC,Northern Arc Capital Limited,Non Banking Financial Company (NBFC),Financials,
NOVAAGRI,Nova Agritech Limited,Fertilizers,Materials,
NPST,Network People Services Technologies Limited,IT Enabled Services,Information Technology,
NRAIL,N R Agarwal Industries Limited,Paper & Paper Products,Materials,
NRBBEARING,NRB Bearing Limited,Auto Components & Equipments,Consumer Discretionary,
NRL,Nupur Recyclers Limited,Trading - Metals,Materials,
NSIL,Nalwa Sons Investments Limited,Investment Company,Financials,
NSLNISP,NMDC Steel Limited,Iron & Steel,Materials,"NIFTY500,NIFTYSMALLCAP250"
NTPC,NTPC Limited,Power Generation,Utilities,"NIFTY100,NIFTY50,NIFTY500"
NTPCGREEN,NTPC Green Energy Limited,Power Generation,Utilities,"NIFTY500,NIFTYMIDCAP150"
NUCLEUS,Nucleus Software Exports Limited,Software Products,Information Technology,
NURECA,Nureca Limited,Medical Equipment & Supplies,Healthcare & Pharma,
NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,Financials,"NIFTY500,NIFTYSMALLCAP250"
NUVOCO,Nuvoco Vistas Corporation Limited,Cement & Cement Products,Materials,"NIFTY500,NIFTYSMALLCAP250"
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
OAL,Oriental Aromatics Limited,Specialty Chemicals,Materials,
OBCL,Orissa Bengal Carrier Limited,Logistics Solution Provider,Industrials,
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,Real Estate & Construction,"NIFTY500,NIFTYMIDCAP150"
OCCLLTD,OCCL Limited,Commodity Chemicals,Materials,
ODIGMA,Odigma Consultancy Solutions Limited,IT Enabled Services,Information Technology,
OFSS,Oracle Financial Services Software Limited,Software Products,Information Technology,"NIFTY500,NIFTYMIDCAP150"
OIL,Oil India Limited,Oil Exploration & Production,Energy,"NIFTY500,NIFTYMIDCAP150"
OILCOUNTUB,Oil Country Tubular Limited,Oil Equipment & Services,Energy,
OLAELEC,Ola Electric Mobility Limited,2/3 Wheelers,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
OLECTRA,Olectra Greentech Limited,Passenger Cars & Utility Vehicles,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
OMAXAUTO,Omax Autos Limited,Auto Components & Equipments,Consumer Discretionary,
OMAXE,Omaxe Limited,Residential Commercial Projects,Real Estate & Construction,
OMFREIGHT,Om Freight Forwarders Limited,Logistics Solution Provider,Industrials,
OMINFRAL,OM INFRA LIMITED,Civil Construction,Real Estate & Construction,
OMKARCHEM,Omkar Speciality Chemicals Limited,Specialty Chemicals,Materials,
ONELIFECAP,Onelife Capital Advisors Limited,Stockbroking & Allied,Financials,
ONEPOINT,One Point One Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Diversified / Others,
ONESOURCE,Onesource Specialty Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,Energy,"NIFTY100,NIFTY50,NIFTY500"
ONMOBILE,OnMobile Global Limited,Web based media and service,Consumer Discretionary,
ONWARDTEC,Onward Technologies Limited,IT Enabled Services,Information Technology,
OPTIEMUS,Optiemus Infracom Limited,Telecom - Equipment & Accessories,Telecom,
ORBTEXP,Orbit Exports Limited,Other Textile Products,Consumer Discretionary,
ORCHASP,Orchasp Limited,Computers - Software & Consulting,Information Technology,
ORCHPHARMA,Orchid Pharma Limited,Pharmaceuticals,Healthcare & Pharma,
ORICONENT,Oricon Enterprises Limited,Packaging,Materials,
ORIENTALTL,Oriental Trimex Limited,Granites & Marbles,Diversified / Others,
ORIENTBELL,Orient Bell Limited,Ceramics,Materials,
ORIENTCEM,Orient Cement Limited,Cement & Cement Products,Materials,
ORIENTCER,ORIENT CERATECH LIMITED,Electrodes & Refractories,Industrials,
ORIENTELEC,Orient Electric Limited,Household Appliances,Consumer Discretionary,
ORIENTHOT,Oriental Hotels Limited,Hotels & Resorts,Consumer Discretionary,
ORIENTLTD,Orient Press Limited,Packaging,Materials,
ORIENTPPR,Orient Paper & Industries Limited,Paper & Paper Products,Materials,
ORIENTTECH,Orient Technologies Limited,IT Enabled Services,Information Technology,
ORISSAMINE,The Orissa Minerals Development Company Limited,Industrial Minerals,Materials,
ORKLAINDIA,Orkla India Limited,Other Food Products,Consumer Staples,
ORTEL,Ortel Communications Limited,TV Broadcasting & Software Production,Information Technology,
ORTINGLOBE,ORTIN GLOBAL LIMITED,Pharmaceuticals,Healthcare & Pharma,
OSIAHYPER,Osia Hyper Retail Limited,Diversified Retail,Diversified / Others,
OSWALAGRO,Oswal Agro Mills Limited,Trading & Distributors,Consumer Discretionary,
