SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
AKSHARCHEM,AksharChem India Limited,Dyes And Pigments,Materials,
AKSHOPTFBR,Aksh Optifibre Limited,Telecom - Equipment & Accessories,Telecom,
AKUMS,Akums Drugs and Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
AKZOINDIA,Akzo Nobel India Limited,Paints,Materials,"NIFTY500,NIFTYSMALLCAP250"
ALANKIT,Alankit Limited,Diversified Commercial Services,Diversified / Others,
ALBERTDAVD,Albert David Limited,Pharmaceuticals,Healthcare & Pharma,
ALEMBICLTD,Alembic Limited,Residential Commercial Projects,Real Estate & Construction,
ALICON,Alicon Castalloy Limited,Auto Components & Equipments,Consumer Discretionary,
ALIVUS,Alivus Life Sciences Limited,Pharmaceuticals,Healthcare & Pharma,
ALKALI,Alkali Metals Limited,Specialty Chemicals,Materials,
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,Materials,"NIFTY500,NIFTYSMALLCAP250"
ALLCARGO,Allcargo Logistics Limited,Logistics Solution Provider,Industrials,
ALLDIGI,Alldigi Tech Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Diversified / Others,
ALLTIME,All Time Plastics Limited,Houseware,Diversified / Others,
ALMONDZ,Almondz Global Securities Limited,Stockbroking & Allied,Financials,
ALOKINDS,Alok Industries Limited,Other Textile Products,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
ALPA,Alpa Laboratories Limited,Pharmaceuticals,Healthcare & Pharma,
ALPHAGEO,Alphageo (India) Limited,Offshore Support Solution Drilling,Diversified / Others,
ALPSINDUS,Alps Industries Limited,Other Textile Products,Consumer Discretionary,
AMANTA,Amanta Healthcare Limited,Pharmaceuticals,Healthcare & Pharma,
AMBER,Amber Enterprises India Limited,Household Appliances,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Household Products,Consumer Staples,
AMBIKCO,Ambika Cotton Mills Limited,Other Textile Products,Consumer Discretionary,
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,Materials,"NIFTY100,NIFTY500"
AMDIND,AMD Industries Limited,Packaging,Materials,
AMJLAND,Amj Land Holdings Limited,Residential Commercial Projects,Real Estate & Construction,
AMNPLST,Amines & Plasticizers Limited,Commodity Chemicals,Materials,
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Healthcare & Pharma,
ANANDRATHI,Anand Rathi Wealth Limited,Financial Products Distributor,Financials,"NIFTY500,NIFTYSMALLCAP250"
ANANTRAJ,Anant Raj Limited,Residential Commercial Projects,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products,Materials,
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals,Materials,
ANGELONE,Angel One Limited,Stockbroking & Allied,Financials,"NIFTY500,NIFTYSMALLCAP250"
ANIKINDS,Anik Industries Limited,Trading & Distributors,Consumer Discretionary,
ANKITMETAL,Ankit Metal & Power Limited,Iron & Steel,Materials,
ANMOL,Anmol India Limited,Trading - Coal,Materials,
ANSALAPI,Ansal Properties & Infrastructure Limited,Residential Commercial Projects,Real Estate & Construction,
ANTELOPUS,Antelopus Selan Energy Limited,Oil Exploration & Production,Energy,
ANTGRAPHIC,Antarctica Limited,Packaging,Materials,
ANTHEM,Anthem Biosciences Limited,Biotechnology,Healthcare & Pharma,
ANUHPHR,Anuh Pharma Limited,Pharmaceuticals,Healthcare & Pharma,
ANUP,The Anup Engineering Limited,Industrial Products,Industrials,
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,Materials,
APARINDS,Apar Industries Limited,Other Electrical Equipment,Industrials,"NIFTY500,NIFTYMIDCAP150"
